title,notes,postive,negative,difficulty,resent_streak,user_id
Prueba 1, Notas de prueba1,5,5,Easy,Daily,1
Prueba 2, Notas de prueba2,4,6,Trivial,Weekly,2
Prueba 3, Notas de prueba3,3,7,Medium,Monthly,3
Prueba 4, Notas de prueba4,2,8,Hard,Daily,4
Prueba 5, Notas de prueba5,1,9,Trivial,Daily,5
Prueba 6, Notas de prueba6,9,0,Medium,Daily,6
Prueba 7, Notas de prueba7,8,5,Hard,Daily,7
Prueba 8, Notas de prueba8,7,1,Easy,Weekly,8
Prueba 9, Notas de prueba9,7,1,Trivial,Monthly,9
Prueba 10, Notas de prueba10,7,1,Medium,Weekly,10
